,Retail_Product_Color,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2Name,Retail_Product_Level3Name,Retail_Product_Level4Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_SOHQTY,Retail_CCQTY,_merge,Diff,Unders
295,,H,ELETRO-ELETRONICOS,HZ,HZA,HZAI,RELOGIO MASC TECHNOS PRATA ANALOGICO 211,9630820000,,MASCULINO PRATA,2,2,both,0,0
296,JEANS,C,VESTUARIO,CY,CYC,CYCD,SHORT JEANSPEDIDO FAKE PS PRD INK RASGOS,9481260004,52,BOTTOM CURTO JEANS PLUS,3,1,both,-2,2
297,PRETO,C,VESTUARIO,C9,C9A,C9AT,SOUTIEN  C9 PRD ELLA BORBOLETA LISO PRET,9380890004,42,SOUTIEN / TOP,2,1,both,-1,1
298,PRETO,C,VESTUARIO,C7,C7A,C7AT,SOUTIEN TG P1 POA P B LIV C7 52 PRETO ES,9575000002,52,SOUTIEN / TOP,1,1,both,0,0
299,ROSA,C,VESTUARIO,CN,CNC,CNCS,SHORT DOLL MANGA CURTA JV CN SLO ELLA ES,9438660003,G,SHORT DOLL,1,1,both,0,0
300,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS  BIO MARCA DE TERCEIROS Skin,9697820003,42,CALÇA JEANS,2,0,left_only,-2,2
301,PRETO,C,VESTUARIO,C5,C5A,C5AA,OCULOS  C5 MSA MAIS ACESSORIOS UNI ACE P,9682440001,UNICO,ÓCULOS ACETATO,1,1,both,0,0
302,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN MSA INK BARRA VIRADA LIS,9383960001,34,BOTTOM CURTO JEANS,1,0,left_only,-1,1
303,,W,BELEZA,WA,WAE,WAEP,DESODORANTE COLONIA MASCULINA JEQUITI CA,9465210000,,PERFUME,3,1,both,-2,2
304,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA INK lavagem com stone e use,9440960004,40,CALÇA JEANS,2,0,left_only,-2,2
305,AZUL,C,VESTUARIO,C8,C8C,C8CB,SHORT C8 PRD INFA INK COM NERVURA LISO 3,9483600002,6,SHORT/SAIA,3,0,left_only,-3,3
306,AMARELO,C,VESTUARIO,C8,C8A,C8AC,TOP SEM MANGA C8 SLO INK BATINHA PPA COM,9633480001,3,TOP/JAQUETA,1,1,both,0,0
307,CHOCOLATE,C,VESTUARIO,C9,C9A,C9AT,SOUTIEN BASE ALONGA ESS C9 PRD LISO CHOC,9316910001,42,SOUTIEN / TOP,1,0,left_only,-1,1
308,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS CRN MSA INK AMACIADAUSED LIS,9578050002,40,CALÇA JEANS,2,0,left_only,-2,2
309,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS JV MSA INK BARRA CHUVEIRINHO,9167490003,38,BOTTOM CURTO JEANS,3,0,left_only,-3,3
310,VERMELHO,C,VESTUARIO,CJ,CJA,CJAT,SOUTIEN SNS SLO BASE VERMELHO RENDA BASI,8222140007,44,SOUTIEN / TOP,1,0,left_only,-1,1
311,,W,BELEZA,WA,WAD,WADP,DESODORANTE COLONIA MASCULINA CARLINHOS,9692170000,,PERFUME,3,3,both,0,0
312,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN SLO INK BARRA CHUVEIRINH,9384680002,42,BOTTOM CURTO JEANS,3,0,left_only,-3,3
313,JEANS,C,VESTUARIO,CY,CYC,CYCD,BERMUDA JEANS PS PRD INK MARMORIZADO COM,9481250006,56,BOTTOM CURTO JEANS PLUS,1,0,left_only,-1,1
314,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA EVT LCM INK LAVAGEM COM USE,9440440007,44,CALÇA JEANS,3,0,left_only,-3,3
315,JEANS,C,VESTUARIO,CY,CYC,CYCD,BERMUDA PS PRD COM RASGOS 02FE00603 JEAN,9633180001,46,BOTTOM CURTO JEANS PLUS,2,0,left_only,-2,2
316,,W,BELEZA,WK,WKC,WKCM,COMBO  WK JEQUITI ESTOJO ELIANA CRISTAL,9413260000,,KIT FEMININO,5,5,both,0,0
317,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA EVT PAIS INK COM USED FILIG,9440430007,48,CALÇA JEANS,1,0,left_only,-1,1
318,BRANCO,C,VESTUARIO,C9,C9A,C9AT,SOUTIEN RENDA ESTREITA ESS C9 PRD LISO B,9266810004,42,SOUTIEN / TOP,1,1,both,0,0
319,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS CRN MSA INK SUPER STONE   US,9486270004,42,CALÇA JEANS,2,0,left_only,-2,2
320,JEANS,C,VESTUARIO,CY,CYA,CYAD,BERMUDA JEANS CRN MSA INK 12 COXA GM LIS,9622500004,42,BOTTOM CURTO JEANS,2,0,left_only,-2,2
321,JEANS,C,VESTUARIO,CY,CYC,CYCF,JARDINEIRA JEANS PS PRD INK COM RASGOS,9481300002,48,INTEIRO PLUS,1,1,both,0,0
322,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN SLO INK BARRA CHUVEIRINH,9384110004,40,BOTTOM CURTO JEANS,2,1,both,-1,1
323,JEANS,C,VESTUARIO,CY,CYC,CYCD,SHORT JEANSPEDIDO FAKE PS PRD INK RASGOS,9481260002,48,BOTTOM CURTO JEANS PLUS,4,0,left_only,-4,4
324,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS EVT LCM CRN MSA  STONE  USED,9456280002,34,CALÇA JEANS,1,1,both,0,0
325,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN PRD INK USED TANK RASGOS,9412390002,38,CALÇA JEANS,1,0,left_only,-1,1
326,JEANS,C,VESTUARIO,CY,CYA,CYAD,BERMUDA JEANS CRN SLO INK COM CONTRASTE,9384010001,36,BOTTOM CURTO JEANS,1,0,left_only,-1,1
327,,W,BELEZA,WA,WAE,WAEP,DESODORANTE COLONIA MASCULINA CORVETTE B,9673700000,,PERFUME,3,1,both,-2,2
328,,W,BELEZA,WL,WLD,WLDA,BATOM  WL VULT VULT BATOM EN 040 35g,9032150000,,BATOM,3,3,both,0,0
329,,W,BELEZA,WA,WAC,WACP,COLONIA DESODORANTE FEMININA ELIANA CRIS,8686750000,,PERFUME,17,17,both,0,0
330,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS  BIO MARCA DE TERCEIROS Skin,9663590003,42,CALÇA JEANS,1,0,left_only,-1,1
331,JEANS,C,VESTUARIO,CY,CYD,CYDA,CALCA JEANS CRN MSA INK USED BIGODE BARR,9384550004,40,CALÇA JEANS,2,1,both,-1,1
332,,H,ELETRO-ELETRONICOS,HJ,HJA,HJAA,TABLET PHILCO PTB10RSG 3G   10   32GB  2,8792440000,,TABLET 3G ANDROID,1,1,both,0,0
333,DOURADO,C,VESTUARIO,C5,C5D,C5DA,COLAR MAIS ACESSORIOS LTCP 0182 DOURADO,9685320001,LONGO,COLAR,9,0,left_only,-9,9
334,,W,BELEZA,WB,WBO,WBOC,DESODORANTE COL PHYTO SPLASH PURE SECRET,9593960000,,CORPORAIS,9,9,both,0,0
335,PRETO,C,VESTUARIO,C5,C5A,C5AB,OCULOS  C5 MAIS ACESSORIOS OCULOS FEM ME,9717730001,UNICO,ÓCULOS METAL,1,1,both,0,0
336,AZUL,C,VESTUARIO,CY,CYA,CYAB,CALCA SARJA JV MSA INK BASICA BARRA VIRA,9475000008,34,CALÇA SARJA,1,0,left_only,-1,1
337,PRETO,C,VESTUARIO,C5,C5A,C5AB,OCULOS  C5 MAIS ACESSORIOS OCULOS MASC 0,9724570001,UNICO,ÓCULOS METAL,1,1,both,0,0
338,BRANCO,C,VESTUARIO,C6,C6A,C6AT,SOUTIEN APP TRS OLIMPO BOURBON BRANCO RE,8319830004,52,SOUTIEN / TOP,4,4,both,0,0
339,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN MSA INK USED TANK BARRA,9384240001,38,CALÇA JEANS,1,1,both,0,0
340,JEANS,C,VESTUARIO,CM,CMA,CMAD,JAQUETA MANGA LONGA EVT PAIS JEANS CRN P,9486520008,GG,JAQUETA JEANS,1,0,left_only,-1,1
341,BEGE,C,VESTUARIO,C6,C6A,C6AB,CINTA APP TRS MODELADORA REF 01 404 2,8604980002,M,CALCINHA / BOTTOM,9,1,both,-8,8
342,JEANS,C,VESTUARIO,C8,C8B,C8BB,BERMUDA C8 PPO PRD INK STONE E USED COM,9483740002,2,BERMUDA,2,0,left_only,-2,2
343,PRETO,C,VESTUARIO,CJ,CJA,CJAC,CAMISOLA SEM MANGA CJ SLO ELLA ANIMAL PR,9649000003,46,CAMISOLA / ROBE,2,2,both,0,0
344,JEANS,C,VESTUARIO,CY,CYC,CYCD,SHORT JEANSPEDIDO FAKE PS PRD INK RASGOS,9481260003,50,BOTTOM CURTO JEANS PLUS,3,1,both,-2,2
345,AZUL,C,VESTUARIO,C8,C8B,C8BB,BERMUDA C8 PPO PRD INK CORDAO E DENIM NO,9483760001,1,BERMUDA,2,0,left_only,-2,2
346,CINZA,C,VESTUARIO,C6,C6A,C6AA,3 CALCINHAS APP TANGA TRS COTTON LISO ME,7797290003,G,CALCINHA / BOTTOM,4,1,both,-3,3
